,u,v,key,osmid,bridge,oneway,length,geometry
77,411686461,1839722277,0,218215448,yes,False,19.43,"LINESTRING (103.9181126 1.3983023, 103.9180155 1.3984476)"
78,411686462,1839722275,0,218215448,yes,False,27.888,"LINESTRING (103.9182295 1.397897, 103.9182171 1.3976465)"
79,411686462,1839722276,0,218215448,yes,False,25.462,"LINESTRING (103.9182295 1.397897, 103.9181859 1.3981218)"
80,411686463,411686465,0,218215448,yes,False,219.892,"LINESTRING (103.9180297 1.3971922, 103.9168808 1.3955824)"
81,411686463,2274875333,0,218215448,yes,False,27.369,"LINESTRING (103.9180297 1.3971922, 103.9181573 1.3974027)"
82,411686465,1839721882,0,218215448,yes,False,79.446,"LINESTRING (103.9168808 1.3955824, 103.9164862 1.3949867)"
83,411686465,411686463,0,218215448,yes,False,219.892,"LINESTRING (103.9168808 1.3955824, 103.9180297 1.3971922)"
84,411686466,411686467,0,218215448,yes,False,36.72,"LINESTRING (103.9154338 1.3935569, 103.9152343 1.3932937)"
85,411686466,2274872287,0,218215448,yes,False,49.505,"LINESTRING (103.9154338 1.3935569, 103.915698 1.3939153)"
86,411686467,2274871851,0,218215448,yes,False,33.924,"LINESTRING (103.9152343 1.3932937, 103.915043 1.393056)"
87,411686467,411686466,0,218215448,yes,False,36.72,"LINESTRING (103.9152343 1.3932937, 103.9154338 1.3935569)"
88,411686468,2274871698,0,218215448,yes,False,18.329,"LINESTRING (103.9144904 1.3927676, 103.9143261 1.3927537)"
89,411686468,411686567,0,218215448,yes,False,18.498,"LINESTRING (103.9144904 1.3927676, 103.9146511 1.3928108)"
90,411686469,411686017,0,218215448,yes,False,28.511,"LINESTRING (103.9140083 1.3928185, 103.9137856 1.3929457)"
91,411686469,411686774,0,218215448,yes,False,17.611,"LINESTRING (103.9140083 1.3928185, 103.914161 1.3927763)"
92,411686567,411686468,0,218215448,yes,False,18.498,"LINESTRING (103.9146511 1.3928108, 103.9144904 1.3927676)"
93,411686567,411686901,0,218215448,yes,False,24.58,"LINESTRING (103.9146511 1.3928108, 103.9148481 1.3929112)"
94,411686774,411686469,0,218215448,yes,False,17.611,"LINESTRING (103.914161 1.3927763, 103.9140083 1.3928185)"
95,411686774,2274871698,0,218215448,yes,False,18.524,"LINESTRING (103.914161 1.3927763, 103.9143261 1.3927537)"
96,411686901,411686567,0,218215448,yes,False,24.58,"LINESTRING (103.9148481 1.3929112, 103.9146511 1.3928108)"
